City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,chibougamau,49.9168,-74.3659,9.79,57,0,1.54,CA,1697580731
154,winslow,35.0242,-110.6974,30.1,15,0,2.06,US,1697580528
155,turkestan,43.3333,68.25,11.67,42,0,1.46,KZ,1697580791
156,enewetak,11.3474,162.3373,28.41,77,100,7.31,MH,1697580791
157,kingscliff,-28.2667,153.5667,22.63,63,40,5.14,AU,1697580792
158,tocopilla,-22.092,-70.1979,19.23,66,30,1.74,CL,1697580793
159,tiksi,71.6872,128.8694,-15.86,100,100,1.0,RU,1697580521
160,lihue,21.9789,-159.3672,28.77,64,40,3.6,US,1697580570
161,mahibadhoo,3.7833,72.9667,28.35,68,19,4.59,MV,1697580795
162,egilsstadir,65.2653,-14.3948,6.95,70,75,4.63,IS,1697580795
163,nemuro,43.3236,145.575,11.27,73,42,8.91,JP,1697580796
164,sault ste. marie,46.5168,-84.3333,9.16,71,100,3.6,CA,1697580796
165,viedma,-40.8135,-62.9967,17.64,33,1,3.61,AR,1697580621
166,georgetown,5.4112,100.3354,27.75,89,20,1.54,MY,1697580511
167,bangassou,4.7413,22.8184,20.62,97,10,0.91,CF,1697580798
168,coquimbo,-29.9533,-71.3436,14.45,77,45,1.71,CL,1697580797
169,qaqortoq,60.7167,-46.0333,-0.59,57,7,4.3,GL,1697580800
170,hithadhoo,-0.6,73.0833,27.08,79,10,5.68,MV,1697580800
171,nova vicosa,-17.8919,-39.3719,24.38,78,51,5.16,BR,1697580801
172,haiku-pauwela,20.9219,-156.3051,30.01,60,20,4.63,US,1697580802
173,kirensk,57.7853,108.1119,0.57,95,89,0.89,RU,1697580803
174,marka,1.7159,44.7717,25.86,90,70,4.19,SO,1697580803
175,jamestown,42.097,-79.2353,10.77,85,100,3.6,US,1697580708
176,buka,40.8108,69.1986,14.43,31,77,1.47,UZ,1697580804
177,kailua-kona,19.6406,-155.9956,30.15,74,20,4.63,US,1697580805
178,nema,57.5067,50.5011,3.2,84,100,9.73,RU,1697580805
179,uturoa,-16.7333,-151.4333,26.28,80,98,8.0,PF,1697580806
180,linfen,36.0889,111.5189,15.3,74,39,1.48,CN,1697580806
181,aksu,41.1231,80.2644,11.3,37,24,2.69,CN,1697580807
182,rojhan,28.6868,69.9534,23.07,49,0,6.58,PK,1697580807
183,hermanus,-34.4187,19.2345,16.09,91,0,2.26,ZA,1697580807
184,seaford,50.7714,0.1027,13.58,78,100,4.02,GB,1697580808
185,yanchep,-31.55,115.6833,14.97,84,16,3.21,AU,1697580808
186,urumqi,43.801,87.6005,4.53,61,0,1.0,CN,1697580809
187,brokopondo,4.75,-55.1667,28.54,72,37,5.41,SR,1697580809
188,abepura,-2.6333,140.5833,26.45,83,40,1.54,ID,1697580810
189,alice springs,-23.7,133.8833,12.75,35,0,0.0,AU,1697580811
190,cam ranh,11.9214,109.1591,23.98,100,40,0.0,VN,1697580811
191,erenhot,43.6475,111.9767,5.29,33,4,4.5,CN,1697580812
192,enriquillo,17.9,-71.2333,30.82,75,24,2.37,DO,1697580812
